MUNICIPIOS,VIGENCIA,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL Aves Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL  HUEVOS AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE AVES POR CICLO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE CICLOS Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES PRODUCIDOS*,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL  CARNE (Kgs),O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Número O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE de Colmenas,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Producción O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE Miel Kgs,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Precio al  Productor $/Kl,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CABALLAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES ASNAL,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES MULAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES BUFALINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUNICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUYICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OVINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CAPRINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OTROS
Campoalegre,2015,25.000,7.250.000,45.000,11.250,"4,00",40.500,66.825,60,2.400,15.000,1.911,88,450,67,0,0,50,87,
Colombia,2015,3.200,928.000,7.200,1.800,"4,00",6.480,10.692,80,1.200,16.000,4.250,1.230,1.720,0,0,0,2.820,3.540,
Hobo,2015,3.400,986.000,27.000,6.750,"4,00",24.300,40.095,0,,,350,74,279,22,185,250,585,625,
Iquira,2015,4.100,1.189.000,16.000,4.000,"4,00",14.720,24.288,100,1.000,20.000,2.200,350,78,0,0,67,20,20,
Palermo,2015,215.000,62.350.000,630.000,105.000,"6,00",567.000,935.550,150,2.700,12.000,2.000,300,250,54,150,50,40,50,
Rivera,2015,315.000,91.350.000,470.000,78.333,"6,00",423.000,697.950,0,,,115,300,210,30,0,170,110,120,
Santa Maria,2015,3.200,928.000,20.000,6.667,"3,00",18.400,30.360,150,6.000,18.000,350,40,60,16,200,150,400,100,
Tello,2015,6.000,1.740.000,10.000,2.500,"4,00",9.000,14.850,50,900,20.000,3.000,800,1.000,1,0,0,350,400,
Teruel,2015,4.800,1.392.000,10.000,3.333,"3,00",9.000,14.850,9,720,1.600,253,223,65,7,0,0,13,35,
Villavieja,2015,1.000,290.000,10.000,2.500,"4,00",9.000,14.850,0,,,1.070,425,100,148,0,0,4.100,4.380,
Yaguará,2015,9.000,2.610.000,18.000,4.500,"4,00",16.200,26.730,0,,,450,30,70,25,0,0,50,100,
La Plata,2015,35.000,10.150.000,470.000,78.333,"6,00",423.000,697.950,150,4.500,15.000,1.500,60,200,0,100,160,840,40,
La Argentina,2015,10.000,2.900.000,36.000,9.000,"4,00",32.400,53.460,170,6.800,15.000,400,25,30,0,155,1800,46,50,
Nátaga,2015,1.000,290.000,14.000,3.500,"4,00",12.600,20.790,15,175,15.000,280,25,50,5,50,70,50,20,
Paicol,2015,23.000,6.670.000,45.000,11.250,"4,00",40.500,66.825,60,1.200,11.000,218,31,40,0,0,0,180,47,
Tesalia,2015,5.000,1.450.000,40.000,8.000,"5,00",36.000,59.400,80,2.880,15.000,500,50,50,10,60,35,25,100,
Garzón,2015,45.000,13.050.000,385.000,77.000,"5,00",346.500,571.725,545,29.100,18.000,3.900,268,1.560,21,215,0,360,180,
Agrado,2015,5.000,1.450.000,56.000,14.000,"4,00",50.400,83.160,169,6.000,20.000,500,50,20,10,40,15,40,20,
Altamira,2015,1.000,290.000,9.000,1.800,"5,00",8.100,13.365,0,0,,80,12,50,80,0,0,250,67,
Gigante,2015,7.000,2.030.000,62.000,15.500,"4,00",55.800,92.070,280,27.300,20.000,700,250,45,40,200,70,120,45,
Guadalupe,2015,4.200,1.218.000,35.000,8.750,"4,00",31.500,51.975,72,980,15.000,130,8,50,40,250,100,120,60,
Pital,2015,3.000,870.000,32.000,8.000,"4,00",28.800,47.520,120,4.320,12.000,450,250,54,21,20,0,30,10,
Suaza,2015,3.500,1.015.000,25.000,8.333,"3,00",22.500,37.125,35,1.050,12.000,2.000,25,420,5,80,200,90,150,
Tarqui,2015,3.200,928.000,24.000,6.000,"4,00",21.600,35.640,230,4.150,15.000,570,340,90,85,0,0,10,20,
Pitalito,2015,48.000,13.920.000,1.050.000,175.000,"6,00",945.000,1.559.250,1.960,86.240,12.000,6.500,120,450,80,250,500,100,200,
Acevedo,2015,2.250,652.500,30.000,7.500,"4,00",27.600,45.540,90,3.600,15.000,1.890,18,400,10,0,30,0,0,
Elias,2015,3.000,870.000,15.000,3.750,"4,00",13.800,22.770,15,600,10.000,130,5,30,0,300,0,0,0,
Isnos,2015,3.600,1.044.000,28.800,7.200,"4,00",26.496,43.718,40,1.600,11.000,2.350,320,230,,2500,6000,0,0,
Oporapa,2015,1.350,391.500,29.400,7.350,"4,00",27.048,44.629,8,320,10.000,800,12,120,0,35,310,10,50,
Palestina,2015,4.200,1.218.000,24.000,6.000,"4,00",22.080,36.432,150,6.000,9.000,810,5,200,0,70,350,0,45,
Saladoblanco,2015,1.800,522.000,9.600,2.400,"4,00",8.832,14.573,25,1.000,12.000,1.100,18,270,0,70,360,0,0,
San Agustín,2015,4.500,1.305.000,70.000,17.500,"4,00",64.400,106.260,1.350,56.700,12.500,2.015,20,155,20,3100,28200,150,40,
Timaná,2015,4.500,1.305.000,72.000,18.000,"4,00",66.240,109.296,1.100,44.000,11.000,2.350,20,150,0,150,0,30,10,
Neiva,2016,392.000,113.680.000,1.320.000,220.000,"6,00",1.188.000,1.960.200,600,18.000,17.000,3.400,750,2.420,270,600,1000,1.500,1.300,
Aipe,2016,2.500,725.000,450.000,100.000,"4,50",405.000,668.250,250,5.000,19.000,1.430,400,416,12,0,0,1.195,350,
Algeciras,2016,2.600,754.000,12.800,14.400,"4,00",11.776,19.430,750,30.000,24.000,350,250,300,0,200,150,300,150,
Baraya,2016,12.000,3.480.000,5.250,1.750,"3,00",4.725,7.796,0,0,,1.800,345,180,100,0,0,4.300,5.400,
Campoalegre,2016,25.000,7.250.000,45.000,11.250,"4,00",40.500,66.825,60,2.400,15.000,1.911,88,450,67,0,0,50,87,
Colombia,2016,3.500,1.015.000,8.400,2.100,"4,00",7.560,12.474,78,1.560,16.000,4.250,1.230,1.720,0,0,0,2.820,3.540,
Hobo,2016,4.000,1.160.000,8.400,2.100,"4,00",7.560,12.474,0,,,350,74,279,22,185,250,585,625,
Iquira,2016,3.000,870.000,16.500,4.125,"4,00",15.180,25.047,115,1.840,22.000,2.200,350,78,0,0,67,20,20,
Palermo,2016,320.000,92.800.000,650.000,108.333,"6,00",585.000,965.250,150,4.500,12.000,2.000,300,250,54,150,50,40,50,
Rivera,2016,315.000,91.350.000,470.000,78.333,"6,00",423.000,697.950,0,,,115,300,210,30,0,170,110,120,
Santa Maria,2016,1.200,348.000,16.200,5.400,"3,00",14.904,24.592,165,4.950,20.000,350,40,60,16,200,150,400,100,
Tello,2016,6.000,1.740.000,10.000,2.500,"4,00",9.000,14.850,50,1.000,22.000,3.000,800,1.000,1,0,0,350,400,
Teruel,2016,2.000,580.000,10.800,3.600,"3,00",9.720,16.038,20,480,20.000,253,223,65,7,0,0,13,35,
Villavieja,2016,1.200,348.000,9.000,2.250,"4,00",8.100,13.365,0,,,1.070,425,100,148,0,0,4.100,4.380,
Yaguará,2016,9.600,2.784.000,24.000,6.000,"4,00",21.600,35.640,0,,,450,30,70,25,0,0,50,100,
La Plata,2016,54.000,15.660.000,495.000,82.500,"6,00",445.500,735.075,135,3.240,17.000,1.500,60,200,0,100,160,840,40,
La Argentina,2016,7.500,2.175.000,28.800,7.200,"4,00",25.920,42.768,185,6.600,22.000,400,25,30,0,155,1800,46,50,
Nátaga,2016,1.050,304.500,16.000,4.000,"4,00",14.400,23.760,15,240,20.000,280,25,50,5,50,70,50,20,
Paicol,2016,36.000,10.440.000,20.000,5.000,"4,00",18.000,29.700,120,5.760,18.000,218,31,40,0,0,0,180,47,
Tesalia,2016,5.000,1.450.000,40.000,8.000,"5,00",36.000,59.400,80,2.880,15.000,500,50,50,10,60,35,25,100,
Garzón,2016,48.000,13.920.000,420.000,84.000,"5,00",378.000,623.700,510,15.300,18.000,3.900,268,1.560,21,215,0,360,180,
Agrado,2016,6.000,1.740.000,40.000,10.000,"4,00",36.000,59.400,75,2.250,20.000,500,50,20,10,40,15,40,20,
Altamira,2016,1.200,348.000,4.500,900,"5,00",4.050,6.683,0,0,,80,12,50,80,0,0,250,67,
Gigante,2016,15.000,4.350.000,66.000,16.500,"4,00",59.400,98.010,300,30.000,20.000,700,250,45,40,200,70,120,45,
Guadalupe,2016,4.550,1.319.500,37.500,9.375,"4,00",33.750,55.688,72,1.960,30.000,130,8,50,40,250,100,120,60,
Pital,2016,2.700,783.000,30.000,7.500,"4,00",27.000,44.550,120,7.200,18.000,450,250,54,21,20,0,30,10,
Suaza,2016,3.300,957.000,23.000,7.667,"3,00",20.700,34.155,100,4.800,12.000,2.000,25,420,5,80,200,90,150,
Tarqui,2016,3.600,1.044.000,21.000,5.250,"4,00",18.900,31.185,234,9.360,17.000,570,340,90,85,0,0,10,20,
Pitalito,2016,48.000,13.920.000,1.125.000,187.500,"6,00",1.012.500,1.670.625,1.960,92.000,13.000,6.500,120,450,80,250,500,100,200,
Acevedo,2016,2.500,725.000,22.400,5.600,"4,00",20.608,34.003,95,4.275,18.000,1.890,18,400,10,0,30,0,0,
Elias,2016,4.000,1.160.000,6.400,1.600,"4,00",5.888,9.715,15,450,15.000,130,5,30,0,300,0,0,0,
Isnos,2016,7.200,2.088.000,29.200,7.300,"4,00",26.864,44.326,40,2.400,22.000,2.350,320,230,,2500,6000,0,0,
Oporapa,2016,1.200,348.000,19.200,4.800,"4,00",17.664,29.146,8,320,10.000,800,12,120,0,35,350,10,50,
Palestina,2016,5.160,1.496.400,24.000,6.000,"4,00",22.080,36.432,150,4.800,18.000,810,5,200,0,100,450,0,45,
Saladoblanco,2016,2.000,580.000,10.800,2.700,"4,00",9.936,16.394,25,800,18.000,1.100,18,270,0,70,360,0,0,
San Agustín,2016,4.350,1.261.500,90.000,22.500,"4,00",82.800,136.620,1.200,57.600,22.000,2.015,20,155,20,3100,28200,150,40,
Timaná,2016,7.000,2.030.000,90.000,22.500,"4,00",82.800,136.620,1.050,56.000,11.000,2.350,20,150,0,150,0,30,10,
Neiva,2017,395.500,114.695.000,1.332.000,266.400,"5,00",1.198.800,1.978.020,600,16.800,20.000,2.800,800,3.000,,700,1700,300,1.800,
Aipe,2017,8.000,2.320.000,450.000,90.000,"5,00",405.000,668.250,230,3.680,20.000,1.420,380,340,32,50,,1.560,400,
Algeciras,2017,3.120,904.800,16.800,14.400,"4,00",15.456,25.502,750,18.750,22.000,950,60,935,18,70,230,156,30,
Baraya,2017,12.000,3.480.000,4.200,1.050,"4,00",3.780,6.237,0,0,0,1.700,340,179,90,,,4.300,5.400,
Campoalegre,2017,24.000,6.960.000,60.000,12.000,"5,00",54.000,89.100,60,2.400,18.000,1.900,80,467,75,,,100,150,
Colombia,2017,3.250,942.500,8.680,2.170,"4,00",7.812,12.890,200,3.200,16.000,2.800,950,1.750,,,,2.500,2.000,
Hobo,2017,2.800,812.000,21.000,7.000,"3,00",18.900,31.185,0,0,0,325,70,190,45,200,150,650,850,
Iquira,2017,6.000,1.740.000,16.000,4.000,"4,00",14.720,24.288,115,1.610,20.000,629,355,218,,,,96,,
Palermo,2017,360.000,104.400.000,660.000,132.000,"5,00",594.000,980.100,150,4.200,20.000,1.800,250,220,85,150,100,100,160,
Rivera,2017,320.000,92.800.000,487.500,97.500,"5,00",438.750,723.938,600,14.400,22000,200,400,2.700,700,700,1200,1.400,1.900,
Santa Maria,2017,1.500,435.000,18.000,6.000,"3,00",16.560,27.324,165,4.290,20.000,350,40,60,16,200,150,500,100,
Tello,2017,6.400,1.856.000,10.800,2.700,"4,00",9.720,16.038,50,900,23.000,2.500,76,900,15,,,350,1.200,
Teruel,2017,2.250,652.500,11.520,3.840,"3,00",10.368,17.107,20,440,22.000,254,200,63,10,,,40,80,
Villavieja,2017,1.050,304.500,15.596,3.899,"4,00",14.036,23.160,60,3.600,30000,700,100,150,,,,4.300,5.500,
Yaguará,2017,25.000,7.250.000,9.120,2.280,"4,00",8.208,13.543,0,0,0,450,30,70,52,,,170,48,
La Plata,2017,60.000,17.400.000,504.000,84.000,"6,00",453.600,748.440,135,6.480,18.000,1.520,65,210,,120,180,850,50,
La Argentina,2017,7.500,2.175.000,24.000,6.000,"4,00",21.600,35.640,187,5.610,25.000,389,25,34,,200,1760,55,100,
Nátaga,2017,2.000,580.000,16.800,4.200,"4,00",15.120,24.948,15,338,22.000,275,60,55,6,55,100,50,100,
Paicol,2017,40.000,11.600.000,31.500,7.000,"4,50",28.350,46.778,130,6.760,19.500,1.300,350,130,4,,,,,
Tesalia,2017,10.000,2.900.000,56.000,14.000,"4,00",50.400,83.160,140,4.200,28.000,752,25,35,,55,30,112,18,
Garzón,2017,49.200,14.268.000,455.000,91.000,"5,00",409.500,675.675,1.150,34.500,38.000,2.800,20,70,70,200,,20,40,
Agrado,2017,15.000,4.350.000,100.000,25.000,"4,00",90.000,148.500,75,1.800,20.000,376,85,95,,,,40,40,
Altamira,2017,18.000,5.220.000,20.000,5.000,"4,00",18.000,29.700,12,480,20000,20,,4,70,,,700,,
Gigante,2017,15.000,4.350.000,37.500,7.500,"5,00",33.750,55.688,350,11.900,35.000,400,40,40,70,150,,400,180,
Guadalupe,2017,3.120,904.800,45.360,7.560,"6,00",40.824,67.360,70,1.400,30.000,123,9,45,35,213,70,125,40,
Pital,2017,1.500,435.000,30.000,5.000,"6,00",27.000,44.550,240,7.200,32.000,380,225,50,20,25,,100,,
Suaza,2017,24.000,6.960.000,31.500,10.500,"3,00",28.350,46.778,150,4.500,38.000,142,15,50,25,190,,130,75,
Tarqui,2017,3.300,957.000,22.200,4.440,"5,00",19.980,32.967,150,4.200,30.000,572,140,70,27,,10,12,25,
Pitalito,2017,51.600,14.964.000,1.140.000,228.000,"5,00",1.026.000,1.692.900,1.145,85.000,13.000,6.925,113,416,58,398,1150,75,146,
Acevedo,2017,24.000,6.960.000,12.000,3.000,"4,00",11.040,18.216,95,3.990,21.000,1.800,20,350,15,45,,,,
Elias,2017,4.000,1.160.000,6.400,1.600,"4,00",5.888,9.715,17,510,20.000,4.500,10,30,,300,120,,,
Isnos,2017,7.800,2.262.000,100.000,25.000,"4,00",92.000,151.800,15,9.000,24.000,623,56,47,16,2200,3298,67,105,
Oporapa,2017,1.400,406.000,20.800,5.200,"4,00",19.136,31.574,150,6.300,20.000,760,12,130,,35,450,10,50,
Palestina,2017,6.000,1.740.000,24.000,6.000,"4,00",22.080,36.432,150,4.800,20.000,800,12,160,,100,460,,,
Saladoblanco,2017,20.000,5.800.000,50.000,12.500,"4,00",46.000,75.900,25,800,20.000,300,50,20,,,,,,
San Agustín,2017,4.930,1.429.700,120.000,30.000,"4,00",110.400,182.160,850,51.000,26.000,900,100,180,55,800,2400,90,95,
Timaná,2017,7.000,2.030.000,180.000,36.000,"5,00",165.600,273.240,500,28.000,24.000,1.050,5,120,10,4200,5000,150,200,
Neiva,2018,420.000,121.800.000,1.443.000,288.600,"5,00",1.298.700,2.142.855,610,17.080,25.000,2.800,800,3.000,,700,1.700,300,1.800,
Aipe,2018,15.000,4.350.000,460.000,92.000,"5,00",414.000,683.100,230,4.600,20.000,1.480,260,335,38,100,,1.600,350,
Algeciras,2018,2.000,580.000,6.000,1.500,"4,00",5.520,9.108,760,22.800,30.000,930,54,930,20,100,230,200,50,
Baraya,2018,12.000,3.480.000,7.500,1.875,"4,00",6.750,11.138,,,,1.700,335,178,50,30,,4.000,6.000,
Campoalegre,2018,24.800,7.192.000,64.500,12.900,"5,00",58.050,95.783,60,2.400,22.000,1.900,80,467,75,,,100,150,
Colombia,2018,500,145.000,3.600,900,"4,00",3.240,5.346,150,900,16.000,3.500,1.800,2.000,,,,2.200,1.800,
Hobo,2018,2.800,812.000,21.000,7.000,"3,00",18.900,31.185,,,,325,70,190,45,200,150,650,850,
Iquira,2018,16.000,4.640.000,20.000,5.000,"4,00",18.400,30.360,115,1.840,25.000,629,355,218,,,,96,,
Palermo,2018,350.000,101.500.000,600.000,120.000,"5,00",540.000,891.000,125,3.125,25.000,1.700,260,150,100,160,100,100,250,
Rivera,2018,560.000,162.400.000,500.000,100.000,"5,00",450.000,742.500,450,22.500,20.000,220,150,220,50,,850,750,120,
Santa Maria,2018,1.500,435.000,18.000,6.000,"3,00",16.560,27.324,165,5.940,2.000,320,40,60,16,200,150,150,100,
Tello,2018,6.000,1.740.000,28.000,7.000,"4,00",25.200,41.580,55,1.650,25.000,2.550,80,950,10,,1.500,,400,
Teruel,2018,3.500,1.015.000,16.000,5.333,"3,00",14.400,23.760,24,576,25.000,250,189,35,25,,,45,120,
Villavieja,2018,2.000,580.000,16.800,4.200,"4,00",15.120,24.948,75,1.950,30.000,742,159,298,,,,4.500,5.600,
Yaguará,2018,28.000,8.120.000,9.600,2.400,"4,00",8.640,14.256,,,,400,21,63,,,,80,30,
La Plata,2018,60.000,17.400.000,750.000,125.000,"6,00",675.000,1.113.750,145,5.800,20.000,5.000,20,20,,,,50,15,
La Argentina,2018,9.600,2.784.000,24.000,6.000,"4,00",21.600,35.640,80,480,25.000,390,25,35,,250,1.900,100,200,
Nátaga,2018,2.000,580.000,8.000,2.000,"4,00",7.200,11.880,20,200,19.000,800,5,15,,,,,,
Paicol,2018,126.000,36.540.000,45.000,10.000,"4,50",40.500,66.825,95,2.280,20.000,1.100,90,130,6,50,20,160,18,
Tesalia,2018,20.000,5.800.000,96.000,24.000,"4,00",86.400,142.560,140,4.200,24.000,745,30,30,,50,50,100,15,
Garzón,2018,50.000,14.500.000,576.000,115.200,"5,00",518.400,855.360,1.150,36.800,35.000,80,20,70,70,200,,20,40,
Agrado,2018,11.500,3.335.000,72.000,18.000,"4,00",64.800,106.920,75,2.025,22.000,120,10,20,,,,,,
Altamira,2018,9.000,2.610.000,22.400,5.600,"4,00",20.160,33.264,18,405,20.000,31,,8,86,,,550,,
Gigante,2018,18.000,5.220.000,45.000,9.000,"5,00",40.500,66.825,350,12.600,38.000,400,40,40,70,150,,400,180,
Guadalupe,2018,3.500,1.015.000,48.000,8.000,"6,00",43.200,71.280,70,1.400,30.000,135,9,45,22,213,70,125,40,
Pital,2018,1.650,478.500,36.000,6.000,"6,00",32.400,53.460,240,7.200,35.000,380,225,50,20,25,,100,,
Suaza,2018,24.000,6.960.000,33.000,11.000,"3,00",29.700,49.005,155,5.580,39.000,155,18,55,28,191,,145,80,
Tarqui,2018,4.000,1.160.000,24.500,4.900,"5,00",22.050,36.383,170,4.760,25.000,550,130,70,20,,40,18,35,
Pitalito,2018,60.000,17.400.000,1.250.000,250.000,"5,00",1.125.000,1.856.250,1.200,96.000,15.000,6.980,112,390,65,450,1.150,130,160,
Acevedo,2018,30.000,8.700.000,12.000,3.000,"4,00",11.040,18.216,100,4.500,30.000,1.800,20,350,15,45,,,,
Elias,2018,6.000,1.740.000,4.000,1.000,"4,00",3.680,6.072,,,,450,10,30,,300,300,,,
Isnos,2018,30.000,8.700.000,195.000,48.750,"4,00",179.400,296.010,35,2.100,35.000,623,56,47,16,2.200,3.298,67,105,
Oporapa,2018,1.400,406.000,20.800,5.200,"4,00",19.136,31.574,150,6.750,25.000,760,12,130,,35,500,10,50,
Palestina,2018,6.000,1.740.000,24.000,6.000,"4,00",22.080,36.432,150,5.100,20.000,780,15,154,,100,650,,,
Saladoblanco,2018,20.000,5.800.000,80.000,20.000,"4,00",73.600,121.440,30,3.600,15.000,350,40,25,,,100,,45,
San Agustín,2018,4.000,1.160.000,120.000,30.000,"4,00",110.400,182.160,765,45.900,26.000,850,100,175,45,800,2.800,95,93,
Timaná,2018,7.000,2.030.000,202.500,40.500,"5,00",186.300,307.395,500,28.000,25.000,1.050,5,120,10,4.200,5.000,150,200,
Neiva,2019,430.000,124.700.000,1.450.000,290.000,"5,00",1.305.000,2.153.250,610,18.000,25.000,2.800,800,3.000,,700,1.700,300,1.800,
Aipe,2019,15.000,4.350.000,460.000,92.000,"5,00",414.000,683.100,230,4.600,25.000,1.480,260,335,38,100,,1.600,350,
Algeciras,2019,2.000,580.000,6.000,1.500,"4,00",5.520,9.108,760,22.800,30.000,930,54,930,20,100,230,200,50,
Baraya,2019,12.000,3.480.000,7.500,1.875,"4,00",6.750,11.138,,,,1.700,335,178,50,30,,4.000,6.000,
Campoalegre,2019,24.800,7.192.000,65.000,13.000,"5,00",58.500,96.525,60,2.400,22.000,1.900,80,467,75,,,100,150,
Colombia,2019,500,145.000,3.600,900,"4,00",3.240,5.346,150,900,22.000,3.500,1.800,2.000,,,,2.200,1.800,
Hobo,2019,2.800,812.000,21.000,7.000,"3,00",18.900,31.185,,,,325,70,190,45,200,150,650,850,
Iquira,2019,16.000,4.640.000,20.000,5.000,"4,00",18.400,30.360,115,1.840,25.000,629,355,218,,,,96,,
Palermo,2019,360.000,104.400.000,600.000,120.000,"5,00",540.000,891.000,125,3.125,25.000,1.700,260,150,100,160,100,100,250,
Rivera,2019,560.000,162.400.000,500.000,100.000,"5,00",450.000,742.500,450,22.500,20.000,220,150,220,50,,850,750,120,
Santa Maria,2019,1.500,435.000,18.000,6.000,"3,00",16.560,27.324,165,5.940,20.000,320,40,60,16,200,150,150,100,
Tello,2019,6.000,1.740.000,28.000,7.000,"4,00",25.200,41.580,55,1.650,25.000,2.550,80,950,10,,1.500,,400,
Teruel,2019,3.500,1.015.000,16.000,5.333,"3,00",14.400,23.760,24,576,25.000,250,189,35,25,,,45,120,
Villavieja,2019,2.000,580.000,16.800,4.200,"4,00",15.120,24.948,75,1.950,30.000,742,159,298,,,,4.500,5.600,
Yaguará,2019,30.000,8.700.000,9.600,2.400,"4,00",8.640,14.256,,,,400,21,63,,,,80,30,
La Plata,2019,60.000,17.400.000,750.000,125.000,"6,00",675.000,1.113.750,145,5.800,20.000,5.000,20,20,,,,50,15,
La Argentina,2019,9.600,2.784.000,24.000,6.000,"4,00",21.600,35.640,80,480,25.000,390,25,35,,250,1.900,100,200,
Nátaga,2019,2.000,580.000,8.000,2.000,"4,00",7.200,11.880,20,200,20.000,800,5,15,,,,,,
Paicol,2019,125.000,36.250.000,46.000,10.222,"4,50",41.400,68.310,95,2.280,20.000,1.100,90,130,6,50,20,160,18,
Tesalia,2019,20.000,5.800.000,96.000,24.000,"4,00",86.400,142.560,140,4.200,24.000,745,30,30,,50,50,100,15,
Garzón,2019,55.000,15.950.000,580.000,116.000,"5,00",522.000,861.300,1.150,36.800,35.000,80,20,70,70,200,,20,40,
Agrado,2019,11.500,3.335.000,72.000,18.000,"4,00",64.800,106.920,75,2.025,22.000,120,10,20,,,,,,
Altamira,2019,9.000,2.610.000,22.400,5.600,"4,00",20.160,33.264,18,405,20.000,31,,8,86,,,550,,
Gigante,2019,20.000,5.800.000,45.000,9.000,"5,00",40.500,66.825,350,12.600,38.000,400,40,40,70,150,,400,180,
Guadalupe,2019,3.500,1.015.000,48.000,8.000,"6,00",43.200,71.280,70,1.400,30.000,135,9,45,22,213,70,125,40,
Pital,2019,1.650,478.500,36.000,6.000,"6,00",32.400,53.460,240,7.200,35.000,380,225,50,20,25,,100,,
Suaza,2019,24.000,6.960.000,33.000,11.000,"3,00",29.700,49.005,155,5.580,39.000,155,18,55,28,191,,145,80,
Tarqui,2019,6.000,1.740.000,24.500,4.900,"5,00",22.050,36.383,170,4.760,25.000,550,130,70,20,,40,18,35,
Pitalito,2019,70.000,20.300.000,1.250.000,250.000,"5,00",1.125.000,1.856.250,1.200,100.000,22.000,6.980,112,390,65,450,1.150,130,160,
Acevedo,2019,30.000,8.700.000,12.000,3.000,"4,00",11.040,18.216,100,4.500,25.000,1.800,20,350,15,45,,,,
Elias,2019,6.000,1.740.000,4.000,1.000,"4,00",3.680,6.072,,,,450,10,30,,300,300,,,
Isnos,2019,30.000,8.700.000,195.000,48.750,"4,00",179.400,296.010,35,2.100,25.000,623,56,47,16,2.200,3.298,67,105,
Oporapa,2019,1.400,406.000,20.800,5.200,"4,00",19.136,31.574,150,6.750,25.000,760,12,130,,35,500,10,50,
Palestina,2019,6.000,1.740.000,24.000,6.000,"4,00",22.080,36.432,150,5.100,20.000,780,15,154,,100,650,,,
Saladoblanco,2019,20.000,5.800.000,80.000,20.000,"4,00",73.600,121.440,30,3.600,20.000,350,40,25,,,100,,45,
San Agustín,2019,8.000,2.320.000,120.000,30.000,"4,00",110.400,182.160,765,45.900,26.000,850,100,175,45,800,2.800,95,93,
Timaná,2019,8.000,2.320.000,203.000,40.600,"5,00",186.760,308.154,500,28.000,25.000,1.050,5,120,10,4.200,5.000,150,200,
Neiva,2020,450.000,130.500.000,1.450.000,290.000,"5,00",1.305.000,2.153.250,610,18.000,26.000,2.000,800,3.000,,700,1.700,300,1.800,
Aipe,2020,15.000,4.350.000,460.000,92.000,"5,00",414.000,683.100,230,4.600,26.000,1.500,260,335,38,100,,1.600,350,
Algeciras,2020,2.500,725.000,8.000,2.000,"4,00",7.360,12.144,760,22.800,30.000,1.500,54,930,20,100,230,200,50,
Baraya,2020,12.000,3.480.000,7.500,1.875,"4,00",6.750,11.138,,,,1.500,335,178,50,30,,4.000,6.000,
Campoalegre,2020,25.000,7.250.000,65.000,13.000,"5,00",58.500,96.525,60,2.400,25.000,1.800,80,467,75,,,100,150,
Colombia,2020,500,145.000,3.600,900,"4,00",3.240,5.346,150,2.000,25.000,2.500,1.800,2.000,,,,2.200,1.800,
Hobo,2020,2.800,812.000,21.000,7.000,"3,00",18.900,31.185,,,,700,70,190,45,200,150,650,850,
Iquira,2020,16.000,4.640.000,20.000,5.000,"4,00",18.400,30.360,115,2.100,25.000,1.000,355,218,,,,96,,
Palermo,2020,360.000,104.400.000,600.000,120.000,"5,00",540.000,891.000,125,3.125,25.000,1.500,260,150,100,160,100,100,250,
Rivera,2020,580.000,168.200.000,500.000,100.000,"5,00",450.000,742.500,450,22.500,25.000,1.000,150,220,50,,850,750,120,
Santa Maria,2020,1.500,435.000,18.000,6.000,"3,00",16.560,27.324,165,5.940,25.000,1.500,40,60,16,200,150,150,100,
Tello,2020,6.000,1.740.000,28.000,7.000,"4,00",25.200,41.580,55,1.650,25.000,1.300,80,950,10,,1.500,,400,
Teruel,2020,3.500,1.015.000,16.000,5.333,"3,00",14.400,23.760,24,576,25.000,300,189,35,25,,,45,120,
Villavieja,2020,2.000,580.000,16.800,4.200,"4,00",15.120,24.948,75,1.950,30.000,1.200,159,298,,,,4.500,5.600,
Yaguará,2020,30.000,8.700.000,9.600,2.400,"4,00",8.640,14.256,,,,600,21,63,,,,80,30,
La Plata,2020,60.000,17.400.000,750.000,125.000,"6,00",675.000,1.113.750,145,5.800,25.000,1.800,20,20,,,,50,15,
