MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Pitalito,2012,0,0,0,0,85.000,250.000,225.000,378,21.024,27.500,25.575,822,1.659,3.500,3.255,510,9.500,32.000,29.760,319,350,1.000,920,380,568,1.500,1.380,412,4.284,15.000,13.800,310,122.385,330.500,299.690
Acevedo,2012,0,0,0,0,2.064,5.000,4.800,430,1.605,2.500,2.325,690,319,650,605,528,0,0,0,0,0,0,0,0,20,50,46,435,910,3.000,2.760,330,4.918,11.200,10.536
Elias,2012,0,0,0,0,675,1.800,1.500,450,2.565,5.200,4.836,530,98,150,140,703,0,0,0,0,0,0,0,0,12,40,37,326,0,0,0,0,3.350,7.190,6.512
Isnos,2012,0,0,0,0,2.025,5.000,4.500,450,0,0,0,0,150,320,298,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.175,5.320,4.798
Oporapa,2012,0,0,0,0,3.600,10.000,8.800,409,265,550,512,518,315,650,605,521,1.500,2.800,2.604,576,0,0,0,0,0,0,0,0,0,0,0,0,5.680,14.000,12.520
Palestina,2012,0,0,0,0,1.960,5.000,4.680,419,0,0,0,0,250,510,474,527,5.200,14.000,13.000,400,0,0,0,0,0,0,0,0,0,0,0,0,7.410,19.510,18.154
Saladoblanco,2012,0,0,0,0,520,1.500,1.300,400,78,150,140,559,35,100,93,376,500,1.200,1.116,448,0,0,0,0,0,0,0,0,0,0,0,0,1.133,2.950,2.649
San Agustín,2012,0,0,0,0,3.150,8.000,7.000,450,397,700,651,610,100,210,195,512,4.350,11.500,9.100,478,0,0,0,0,0,0,0,0,120,280,258,466,8.117,20.690,17.204
Timaná,2012,0,0,0,0,18.934,46.750,42.075,450,3.126,5.200,4.836,646,42,95,88,475,550,1.000,930,591,90,250,230,391,2,5,5,435,971,3.500,3.220,302,23.715,56.800,51.384
Neiva,2013,0,0,0,0,305.000,850.000,815.000,374,472500,1.100.000,1.050.000,450,11.000,25.000,22.000,500,1.572,3.500,3.255,483,0,0,0,0,0,0,0,0,800,1.800,1.656,483,790.872,1.980.300,1.891.911
Aipe,2013,0,0,0,0,2.324.500,8.560.000,6.500.000,358,450.256,1.300.000,1.052.000,428,0,0,0,0,0,0,0,0,0,0,0,0,1.100,3.450,3.050,361,177.870,456.000,385.000,462,2.953.726,10.319.450,7.940.050
Algeciras,2013,0,0,0,0,15.750,55.000,45.000,350,1.075,2.500,2.150,500,1.130,2.500,2.100,538,2.530,7.500,7.000,361,0,0,0,0,0,0,0,0,5.720,16.250,14.300,400,26.205,83.750,70.550
Baraya,2013,0,0,0,0,261.048,850.000,715.200,365,17.842,24.500,22.000,811,65,100,65,1000,0,0,0,0,0,0,0,0,0,0,0,0,3.380,6.500,5.200,650,282.335,881.100,742.465
Campoalegre,2013,15.440.000,75.000.000,45.000.000,343,250.000,785000,702.000,356,5.325,7.500,7.100,750,78,150,120,650,0,0,0,0,0,0,0,0,0,0,0,0,650,1.250,1.000,650,15.696.053,75.793.900,45.710.220
Colombia,2013,0,0,0,0,9.800,34.000,28.000,350,4.525,10.500,9.050,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.325,44.500,37.050
Hobo,2013,3.188.000,15.600.000,9.360.000,341,3.500,12500,10.000,350,10.125,15.600,13.500,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.201.625,15.628.100,9.383.500
Iquira,2013,0,0,0,0,8.000,27.000,25.000,320,2.500,7.500,6.000,417,0,0,0,0,2.400,5.200,4.800,500,0,0,0,0,0,0,0,0,215,500,450,478,13.115,40.200,36.250
Palermo,2013,0,0,0,0,250.250,795.000,735.000,340,35.000,70.000,65.000,538,0,0,0,0,0,0,0,0,0,0,0,0,2.500,7.500,6.850,365,650,1.300,1.196,543,288.400,873.800,808.046
Rivera,2013,0,0,0,0,198.500,620.000,545.000,364,12.500,28.500,20.000,625,325,600,500,650,0,0,0,0,0,0,0,0,3.050,10.000,9.200,332,3.800,10.000,9.200,413,218.175,669.100,583.900
Santa Maria,2013,0,0,0,0,1.650,5.200,4.800,344,0,0,0,0,0,0,0,0,7.850,15.200,13.500,581,0,0,0,0,0,0,0,0,0,0,0,0,9.500,20.400,18.300
Tello,2013,0,0,0,0,6.500,22.500,19.574,332,2.856,6.250,3.050,936,0,0,0,0,0,0,0,0,0,0,0,0,1.500,4.650,4.000,375,600,1.300,1.254,478,11.456,34.700,27.878
Teruel,2013,0,0,0,0,1.000,3.000,2.500,400,1.000,2.200,2.000,500,0,0,0,0,3.820,8.150,7.450,513,0,0,0,0,0,0,0,0,1.250,1.800,2.500,500,7.070,15.150,14.450
Villavieja,2013,0,0,0,0,5.465,24.300,18.425,297,9.539,20.620,18.135,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.004,44.920,36.560
Yaguará ,2013,11.601.000,55.200.000,33.120.000,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.601.000,55.200.000,33.120.000
La PLata,2013,0,0,0,0,32.150,90.000,83.500,385,2.500,5.200,4.900,510,2.120,3.700,3.400,624,1.560,3.500,3.250,480,4.500,12.500,10.200,441,60,150,130,462,1.500,2.800,2.500,600,44.390,117.850,107.880
La Argentina,2013,0,0,0,0,20.000,62.000,50.000,400,4.334,10.000,9.300,466,1.400,3.000,2.800,500,6.200,15.000,12.500,496,1.115,4.000,3.300,338,0,0,0,0,700,1.500,1.380,507,33.749,95.500,79.280
Nátaga,2013,0,0,0,0,4.080,12.000,10.200,400,2.250,5.500,5.000,450,225,500,450,500,0,0,0,0,1.035,2.500,2.300,450,230,1.200,800,288,2.488,7.000,6.380,390,10.308,28.700,25.130
Paicol,2013,0,0,0,0,23.904,79.000,72.000,332,3.496,8.950,8.324,420,1.200,2.000,1.860,645,0,0,0,0,0,0,0,0,0,0,0,0,500,1.500,1.380,362,29.100,91.450,83.564
Tesalia,2013,0,0,0,0,7.500,20.000,18.500,405,1.200,1.850,1.500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,1.100,1.000,850,9.550,22.950,21.000
Garzón,2013,0,0,0,0,1.313.500,4.600.000,3.700.000,355,117.500,270.000,250.000,476,0,0,0,0,8.710,30.000,26.000,335,0,0,0,0,58.725,140.000,135.000,433,12.500,30.000,28.000,446,1.510.935,5.070.000,4.139.000
Agrado,2013,0,0,0,0,8.250,25.000,22.300,370,14.500,25.000,18.000,806,0,0,0,0,0,0,0,0,0,0,0,0,2.400,3.200,3.000,433,0,0,0,0,25.150,53.200,43.300
Altamira,2013,0,0,0,0,1.058,2.800,2.350,450,4.000,4.500,4.000,1000,2.800,3.500,2.800,1000,0,0,0,0,1.360,2.000,1.700,800,0,0,0,0,0,0,0,0,9.218,12.800,10.850
