MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Rivera,2017,0,0,0,0,693.000,2.300.000,1.540.000,450,0,0,0,400,170.000,200.000,170.000,1000,16.800,18.000,14.000,1200,0,0,0,0,4.350,10.500,8.700,500,3.750,10.000,7.500,500,887.900,2.538.500,1.740.200
Santa Maria,2017,0,0,0,0,6.600,20.000,16.500,400,0,0,0,500,0,0,0,0,0,0,0,0,12.036,30.000,25.500,472,0,0,0,0,0,0,0,0,18.636,50.000,42.000
Tello,2017,0,0,0,0,8.140,28.000,22.000,370,0,0,0,3000,5.400,7.000,5.400,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.150,1.400,1.150,1000,14.690,36.400,28.550
Teruel,2017,0,0,0,0,7.770,24.000,21.000,370,0,0,0,300,0,0,0,0,0,0,0,0,10.010,15.400,14.300,700,0,0,0,0,1.390,3.700,2.780,500,19.170,43.100,38.080
Villavieja,2017,0,0,0,0,2.355.200,6.400.000,5.888.000,400,268.905,390.000,384.150,700,35.280,80.000,78.400,450,0,0,0,0,0,0,0,0,35.820,120.000,119.400,300,286.560,240.000,238.800,1200,2.981.765,7.230.000,6.708.750
Yaguará ,2017,9.390.350,34.500.000,17.230.000,545,324.000,1.800.000,1.080.000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.714.350,36.300.000,18.310.000
La PLata,2017,0,0,0,0,93.015,340.000,265.000,351,5.610,20.000,17.000,330,22.989,35.000,28.700,801,2.499,3.600,3.100,806,8.546,25.600,18.700,457,100,230,200,500,1.479,3.000,2.670,554,134.237,427.430,335.370
La Argentina,2017,0,0,0,0,29.200,80.000,73.000,400,0,0,0,100,5.330,10.000,8.200,650,0,0,0,0,11.250,25.000,22.500,500,0,0,0,0,0,0,0,0,45.780,115.000,103.700
Nátaga,2017,0,0,0,0,5.000,16.000,12.500,400,0,0,0,200,2.310,5.000,3.850,600,0,0,0,0,650,1.500,1.300,500,0,0,0,0,0,0,0,0,7.960,22.500,17.650
Paicol,2017,0,0,0,0,8.994,35.000,32.800,274,0,0,0,604,6.300,16.000,14.000,450,1.050,3.200,2.100,500,0,0,0,0,1.428,7.500,4.200,340,0,0,0,0,17.772,61.700,53.100
Tesalia,2017,0,0,0,0,36.080,110.000,88.000,410,0,0,0,100,2.000,5.000,4.000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.080,115.000,92.000
Garzón,2017,0,0,0,0,2.484.000,6.900.000,6.210.000,400,140.800,440.000,352.000,400,504.000,560.000,504.000,1000,468.000,520.000,468.000,1000,61.600,185.000,154.000,400,270.000,600.000,540.000,500,400.000,560.000,500.000,800,4.328.400,9.765.000,8.728.000
Agrado,2017,0,0,0,0,4.950,14.000,11.000,450,0,0,0,203,3.600,4.700,4.000,900,0,0,0,0,0,0,0,0,2.560,4.000,3.200,800,0,0,0,0,11.110,22.700,18.200
Altamira,2017,0,0,0,0,33.500,123.000,67.000,500,28.700,93.500,57.400,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.200,216.500,124.400
Gigante,2017,0,0,0,0,1.216.000,4.000.000,3.040.000,400,218.880,720.000,547.200,400,0,0,0,0,0,0,0,0,0,0,0,0,87.400,230.000,174.800,500,51.680,85.000,64.600,800,1.573.960,5.035.000,3.826.600
Guadalupe,2017,0,0,0,0,111.265,345.000,289.000,385,4.928,12.000,11.000,448,101.000,250.000,200.000,505,432,1.200,900,480,3.060,7.500,6.800,450,304,1.000,800,380,2.046,3.500,3.300,620,223.035,620.200,511.800
Pital,2017,0,0,0,0,22.360,52.000,44.720,500,4.600,12.500,11.500,400,7.300,8.000,7.300,1000,0,0,0,0,3.100,7.200,6.200,500,0,0,0,0,0,0,0,0,37.360,79.700,69.720
Suaza,2017,0,0,0,0,19.200,55.000,48.000,400,0,0,0,400,0,0,0,0,970,1.000,970,1000,6.738,13.580,13.750,490,0,0,0,0,2.952,4.270,3.690,800,29.860,73.850,66.410
Tarqui,2017,0,0,0,0,22.400,60.000,56.000,400,0,0,0,400,4.104,5.900,5.130,800,0,0,0,0,0,0,0,0,1.450,3.000,2.900,500,1.103,2.800,2.450,450,29.057,71.700,66.480
Pitalito,2017,0,0,0,0,143.280,455.000,398.000,360,0,0,0,300,49.300,67.000,58.000,850,4.237,4.100,3.852,1100,57.715,125.000,119.000,485,148,300,280,530,2.415,6.800,6.355,380,257.096,658.200,585.487
Acevedo,2017,0,0,0,0,57.750,120.000,105.000,550,0,0,0,8010,36.000,140.000,80.000,450,1.200,5.000,3.000,400,0,0,0,0,5.000,20.000,10.000,500,0,0,0,0,99.950,285.000,198.000
Elias,2017,0,0,0,0,1.634,4.500,3.800,430,0,0,0,15350,2.491,5.000,4.700,530,98,150,140,703,600,1.500,1.200,500,162,500,350,463,0,0,0,0,4.985,11.650,10.190
Isnos,2017,0,0,0,0,3.675,4.500,7.350,500,890,4.000,1.780,500,528,900,880,600,1.183,5.300,2.150,550,1.095,5.200,1.990,550,0,0,0,0,0,0,0,0,7.370,19.900,14.150
Oporapa,2017,0,0,0,0,385,12.000,11.000,35,0,0,0,120,280,550,512,547,313,670,600,521,2.287,4.800,4.250,538,0,0,0,0,0,0,0,0,3.264,18.020,16.362
Palestina,2017,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,131.250,250.000,175.000,750,0,0,0,0,0,0,0,0,131.250,250.000,175.000
Saladoblanco,2017,0,0,0,0,50.000,240.000,200.000,250,0,0,0,200,13.050,50.000,45.000,290,225,500,450,500,1.800,5.000,4.500,400,0,0,0,0,1.120,3.000,2.800,400,66.195,298.500,252.750
San Agustín,2017,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2.350,5.000,4.700,500,0,0,0,0,0,0,0,0,2.350,5.000,4.700
Timaná,2017,0,0,0,0,23.175,56.000,51.500,450,2.115,3.000,4.700,450,2.115,5.000,4.700,450,540,1.000,900,600,0,0,0,0,81,200,180,450,203,500,450,450,28.229,65.700,62.430
Neiva,2018,0,0,0,0,4.000.000,10.000.000,8.000.000,500,840.000,1.150.000,1.000.000,840,375.000,550.000,500.000,750,4.000,10.000,8.000,500,4.050,10.000,9.000,450,20.250,60.000,45.000,450,0,0,0,0,5.243.300,11.780.000,9.562.000
Aipe,2018,0,0,0,0,4.950.000,11.500.000,11.000.000,450,480.000,500.000,480.000,1000,750.000,800.000,750.000,1000,17.500,18.000,17.500,1000,0,0,0,0,25.500,40.000,30.000,850,550.000,600.000,550.000,1000,6.773.000,13.458.000,12.827.500
Algeciras,2018,0,0,0,0,240.000,750.000,580.000,414,0,0,0,400,2.000,2.300,2.000,1000,0,0,0,0,24.000,35.000,32.000,750,5.250,5.000,7.000,750,3.350,10.000,6.700,500,274.600,802.300,627.700
Baraya,2018,0,0,0,0,318.000,858.000,795.000,400,0,0,0,400,42.400,72.000,53.000,800,0,0,0,0,0,0,0,0,0,0,0,0,2.990,5.700,4.600,650,363.390,935.700,852.600
Campoalegre,2018,11.330.000,35.000.000,19.700.000,575,840.500,3.200.000,2.050.000,410,0,0,0,8810,101.500,170.000,145.000,700,3.100,3.500,3.100,1000,0,0,0,0,4.635,12.500,10.300,450,600,1.500,1.200,500,12.280.335,38.387.500,21.909.600
Colombia,2018,0,0,0,0,5.600,20.000,16.000,350,0,0,0,200,810,2.300,1.800,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.410,22.300,17.800
Hobo,2018,1.945.000,4.500.000,1.945.000,1.000,720.000,2.850.000,1.740.000,414,0,0,0,850,99.000,135.000,120.000,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.764.000,7.485.000,3.805.000
Iquira,2018,0,0,0,0,130.272,380.000,276.000,472,0,0,0,920,5.900,7.200,5.900,1000,0,0,0,0,7.140,12.000,10.200,700,0,0,0,0,0,0,0,0,143.312,399.200,292.100
Palermo,2018,0,0,0,0,1.240.000,4.760.000,3.100.000,400,0,0,0,100,120.000,250.000,200.000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.360.000,5.010.000,3.300.000
Rivera,2018,0,0,0,0,742.500,2.300.000,1.650.000,450,0,0,0,0,200.000,300.000,200.000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.500,2.600.000,1.850.000
Santa Maria,2018,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,3.000,6.500,5.000,600,27.000,60.000,45.000,600,0,0,0,0,0,0,0,0,30.000,66.500,50.000
Tello,2018,0,0,0,0,10.500,30.000,28.000,375,0,0,0,3000,5.500,8.000,5.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.200,1.500,1.200,1000,17.200,39.500,34.700
Teruel,2018,0,0,0,0,8.296,16.000,24.400,340,0,0,0,400,560,1.000,800,700,0,0,0,0,13.800,25.600,23.000,600,0,0,0,0,0,0,0,0,22.656,42.600,48.200
Villavieja,2018,0,0,0,0,2.765.000,7.450.000,6.350.000,435,270.200,380.000,386.000,700,33.908,79.000,75.350,450,0,0,0,0,0,0,0,0,34.500,118.000,115.000,300,119.500,245.000,239.000,500,3.223.108,8.272.000,7.165.350
Yaguará ,2018,9.395.800,36.600.000,17.240.000,545,378.000,1.800.000,1.260.000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.773.800,38.400.000,18.500.000
La PLata,2018,0,0,0,0,125.000,450.000,325.000,385,0,0,0,100,36.000,55.000,48.000,750,34.000,7.000,5.000,6800,0,0,0,0,0,0,0,0,0,0,0,0,195.000,512.000,378.000
La Argentina,2018,0,0,0,0,30.000,85.000,75.000,400,0,0,0,200,5.330,10.000,8.200,650,0,0,0,0,12.800,30.000,25.600,500,0,0,0,0,0,0,0,0,48.130,125.000,108.800
Nátaga,2018,0,0,0,0,5.200,16.000,13.000,400,0,0,0,200,2.310,5.000,3.850,600,0,0,0,0,650,1.500,1.300,500,0,0,0,0,0,0,0,0,8.160,22.500,18.150
Paicol,2018,0,0,0,0,24.300,60.000,54.000,450,0,0,0,400,6.000,10.000,8.000,750,0,0,0,0,0,0,0,0,0,0,0,0,1.125,2.000,1.500,750,31.425,72.000,63.500
Tesalia,2018,0,0,0,0,40.000,100.000,80.000,500,0,0,0,0,2.400,5.000,4.800,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.400,105.000,84.800
Garzón,2018,0,0,0,0,2.748.000,6.950.000,6.870.000,400,156.000,500.000,390.000,400,550.000,570.000,550.000,1000,480.000,535.000,480.000,1000,284.000,780.000,710.000,400,275.000,676.000,550.000,500,464.000,650.000,580.000,800,4.957.000,10.661.000,10.130.000
Agrado,2018,0,0,0,0,5.375,18.000,12.500,430,0,0,0,200,2.500,3.500,2.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.875,21.500,15.000
Altamira,2018,0,0,0,0,55.000,170.000,110.000,500,55.000,175.000,110.000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.000,345.000,220.000
Gigante,2018,0,0,0,0,1.264.640,4.160.000,3.161.600,400,218.880,720.000,547.200,400,0,0,0,0,0,0,0,0,0,0,0,0,87.400,230.000,174.800,500,0,0,0,0,1.570.920,5.110.000,3.883.600
Guadalupe,2018,0,0,0,0,90.475,250.000,235.000,385,0,0,0,14800,101.000,250.000,200.000,505,480,1.400,1.000,480,5.500,12.000,11.000,500,304,1.000,800,380,0,0,0,0,197.759,514.400,447.800
Pital,2018,0,0,0,0,25.000,62.000,50.000,500,5.000,13.000,12.500,400,7.350,8.100,7.350,1000,0,0,0,0,3.575,8.000,6.500,550,0,0,0,0,0,0,0,0,40.925,91.100,76.350
Suaza,2018,0,0,0,0,21.600,55.000,48.000,450,0,0,0,400,0,0,0,0,970,1.000,970,1000,6.900,14.200,13.800,500,0,0,0,0,2.952,4.270,3.690,800,32.422,74.470,66.460
Tarqui,2018,0,0,0,0,24.400,65.000,61.000,400,0,0,0,703,4.400,5.800,5.500,800,0,0,0,0,0,0,0,0,1.500,3.200,3.000,500,0,0,0,0,30.300,74.000,69.500
Pitalito,2018,0,0,0,0,176.000,560.000,435.000,405,0,0,0,400,49.300,67.000,58.000,850,4.237,4.100,3.852,1100,59.500,125.000,119.000,500,252,500,475,530,2.415,6.800,6.355,380,291.704,763.400,622.682
Acevedo,2018,0,0,0,0,90.000,300.000,180.000,500,1.150,3.000,2.300,500,54.000,200.000,120.000,450,1.200,5.000,3.000,400,4.500,10.000,9.000,500,5.000,20.000,10.000,500,0,0,0,0,155.850,538.000,324.300
Elias,2018,0,0,0,0,2.408,6.700,5.600,430,0,0,0,15300,2.465,5.000,4.650,530,98,150,140,703,835,2.000,1.670,500,139,400,300,463,0,0,0,0,5.945,14.250,12.360
Isnos,2018,0,0,0,0,3.675,4.500,7.350,500,890,4.000,1.780,500,528,900,880,600,1.183,5.300,2.150,550,1.095,5.200,1.990,550,0,0,0,0,0,0,0,0,7.370,19.900,14.150
Oporapa,2018,0,0,0,0,3.850,12.000,11.000,350,0,0,0,120,307,550,512,600,420,670,600,700,2.550,4.800,4.250,600,0,0,0,0,0,0,0,0,7.127,18.020,16.362
Palestina,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.500,200.000,154.000,750,0,0,0,0,0,0,0,0,115.500,200.000,154.000
Saladoblanco,2018,0,0,0,0,11.500,25.000,23.000,500,4.500,10.000,9.000,500,0,0,0,0,0,0,0,0,14.000,30.000,28.000,500,0,0,0,0,0,0,0,0,30.000,65.000,60.000
San Agustín,2018,0,0,0,0,1.500,3.400,3.000,500,0,0,0,100,0,0,0,0,0,0,0,0,4.350,12.000,8.700,500,0,0,0,0,0,0,0,0,5.850,15.400,11.700
Timaná,2018,0,0,0,0,6.390,15.000,14.200,450,2.115,3.000,4.700,450,2.115,5.000,4.700,450,540,1.000,900,600,0,0,0,0,81,200,180,450,203,500,450,450,11.444,24.700,25.130
Neiva,2019,0,0,0,0,2.800.000,10.000.000,8.000.000,350,650.000,1.340.000,1.000.000,650,375.000,600.000,500.000,750,4.000,10.000,7.500,533,4.500,10.000,8.500,529,20.250,60.000,45.000,450,0,0,0,0,3.853.750,12.020.000,9.561.000
Aipe,2019,0,0,0,0,6.050.000,11.500.000,11.000.000,550,624.035,1.200.000,980.000,637,750.000,800.000,750.000,1000,1.750,2.300,1.760,994,0,0,0,0,2.550,6.700,5.500,464,5.500,10.000,8.700,632,7.433.835,13.519.000,12.745.960
Algeciras,2019,0,0,0,0,340.000,750.000,580.000,586,0,0,0,500,2.000,2.300,2.000,1000,0,0,0,0,27.800,56.000,43.000,647,5.250,12.000,9.000,583,3.350,10.000,6.700,500,378.400,830.300,640.700
Baraya,2019,0,0,0,0,635.000,858.000,795.000,799,0,0,0,700,42.400,72.000,53.000,800,0,0,0,0,0,0,0,0,0,0,0,0,2.990,5.700,4.600,650,680.390,935.700,852.600
Campoalegre,2019,12.740.000,34.500.000,20.200.000,631,840.500,3.200.000,2.050.000,410,1.440.000,3.450.000,2.300.000,626,101.500,170.000,145.000,700,3.100,3.500,3.100,1000,0,0,0,0,4.635,12.500,10.300,450,600,1.500,1.200,500,15.130.335,41.337.500,24.709.600
Colombia,2019,0,0,0,0,125.600,20.000,16.000,7850,0,0,0,200,810,2.300,1.500,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.410,22.300,17.500
Hobo,2019,2.130.000,3.700.000,1.970.000,1.081,720.000,2.850.000,1.740.000,414,1.008.000,3.100.000,2.000.000,504,99.000,135.000,120.000,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.957.000,9.785.000,5.830.000
Iquira,2019,0,0,0,0,620.500,380.000,276.000,2248,620.000,1.800.000,970.000,639,5.900,7.200,5.900,1000,0,0,0,0,8.700,25.000,18.000,483,0,0,0,0,0,0,0,0,1.255.100,2.212.200,1.269.900
Palermo,2019,0,0,0,0,1.840.000,4.760.000,3.100.000,594,0,0,0,100,120.000,250.000,200.000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960.000,5.010.000,3.300.000
Rivera,2019,0,0,0,0,742.500,2.300.000,1.650.000,450,0,0,0,0,200.000,300.000,200.000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.500,2.600.000,1.850.000
Santa Maria,2019,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,3.000,6.500,4.500,667,27.000,60.000,45.000,600,0,0,0,0,0,0,0,0,30.000,66.500,49.500
Tello,2019,0,0,0,0,710.500,30.000,28.000,25375,0,0,0,270,5.500,8.000,5.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.200,2.100,1.800,667,717.200,40.100,35.300
Teruel,2019,0,0,0,0,8.296,16.000,24.400,340,0,0,0,400,560,1.000,800,700,0,0,0,0,14.000,25.600,23.000,609,0,0,0,0,0,0,0,0,22.856,42.600,48.200
Villavieja,2019,0,0,0,0,3.865.000,7.450.000,6.350.000,609,1.134.200,3.000.000,1.870.000,607,33.908,80.000,67.000,506,0,0,0,0,0,0,0,0,3.450,11.000,7.800,442,11.950,28.000,23.000,520,5.048.508,10.569.000,8.317.800
Yaguará ,2019,10.478.000,32.000.000,15.700.000,667,378.000,1.800.000,1.260.000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.856.000,33.800.000,16.960.000
La PLata,2019,0,0,0,0,225.000,450.000,325.000,692,0,0,0,500,36.000,55.000,48.000,750,34.000,45.000,38.000,895,0,0,0,0,0,0,0,0,0,0,0,0,295.000,550.000,411.000
La Argentina,2019,0,0,0,0,230.000,85.000,75.000,3067,0,0,0,200,5.330,10.000,8.200,650,0,0,0,0,12.800,30.000,25.600,500,0,0,0,0,0,0,0,0,248.130,125.000,108.800
Nátaga,2019,0,0,0,0,5.200,16.000,13.000,400,0,0,0,200,2.310,5.000,3.850,600,0,0,0,0,650,1.500,1.300,500,0,0,0,0,0,0,0,0,8.160,22.500,18.150
Paicol,2019,0,0,0,0,124.300,60.000,54.000,2302,0,0,0,200,6.000,10.000,8.000,750,0,0,0,0,0,0,0,0,0,0,0,0,1.125,2.000,1.500,750,131.425,72.000,63.500
Tesalia,2019,0,0,0,0,40.000,100.000,80.000,500,0,0,0,0,2.400,5.000,4.800,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.400,105.000,84.800
Garzón,2019,0,0,0,0,4.800.000,6.950.000,6.870.000,699,156.000,500.000,390.000,400,550.000,640.000,550.000,1000,480.000,535.000,480.000,1000,284.000,780.000,710.000,400,275.000,676.000,550.000,500,464.000,650.000,580.000,800,7.009.000,10.731.000,10.130.000
Agrado,2019,0,0,0,0,205.375,18.000,12.500,16430,0,0,0,200,2.500,3.500,2.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.875,21.500,15.000
Altamira,2019,0,0,0,0,55.000,170.000,110.000,500,55.000,175.000,110.000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.000,345.000,220.000
Gigante,2019,0,0,0,0,1.664.640,4.160.000,3.161.600,527,218.880,720.000,547.200,400,0,0,0,0,0,0,0,0,0,0,0,0,87.400,230.000,174.800,500,0,0,0,0,1.970.920,5.110.000,3.883.600
Guadalupe,2019,0,0,0,0,190.475,250.000,235.000,811,0,0,0,14800,101.000,250.000,200.000,505,480,1.400,1.000,480,5.500,12.000,11.000,500,304,1.000,800,380,0,0,0,0,297.759,514.400,447.800
Pital,2019,0,0,0,0,125.000,62.000,50.000,2500,5.000,13.000,12.500,400,7.350,8.100,7.350,1000,0,0,0,0,3.575,8.000,6.500,550,0,0,0,0,0,0,0,0,140.925,91.100,76.350
Suaza,2019,0,0,0,0,121.600,55.000,48.000,2533,0,0,0,200,0,0,0,0,970,1.000,970,1000,6.900,14.200,13.800,500,0,0,0,0,2.952,4.270,3.690,800,132.422,74.470,66.460
Tarqui,2019,0,0,0,0,124.400,65.000,61.000,2039,0,0,0,703,4.400,5.800,5.500,800,0,0,0,0,0,0,0,0,1.500,3.200,3.000,500,0,0,0,0,130.300,74.000,69.500
Pitalito,2019,0,0,0,0,376.000,560.000,435.000,864,0,0,0,800,49.300,67.000,58.000,850,4.237,4.100,3.852,1100,67.000,125.000,156.000,429,252,500,475,530,2.415,6.800,6.355,380,499.204,763.400,659.682
Acevedo,2019,0,0,0,0,190.000,300.000,180.000,1056,1.150,3.000,2.300,500,54.000,200.000,120.000,450,1.200,5.000,3.000,400,4.500,10.000,9.000,500,5.000,20.000,10.000,500,0,0,0,0,255.850,538.000,324.300
Elias,2019,0,0,0,0,102.408,6.700,5.600,18287,0,0,0,15300,2.465,5.000,4.650,530,98,150,140,703,835,2.000,1.670,500,139,400,300,463,0,0,0,0,105.945,14.250,12.360
Isnos,2019,0,0,0,0,103.675,4.500,7.350,14105,890,4.000,1.780,500,528,900,880,600,1.183,5.300,2.150,550,1.095,5.200,1.990,550,0,0,0,0,0,0,0,0,107.370,19.900,14.150
Oporapa,2019,0,0,0,0,103.850,12.000,11.000,9441,0,0,0,120,307,550,512,600,420,670,600,700,2.550,4.800,4.250,600,0,0,0,0,0,0,0,0,107.127,18.020,16.362
Palestina,2019,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,115.000,290.000,245.000,469,0,0,0,0,0,0,0,0,115.000,290.000,245.000
Saladoblanco,2019,0,0,0,0,111.500,25.000,23.000,4848,4.500,10.000,9.000,500,0,0,0,0,0,0,0,0,14.000,30.000,28.000,500,0,0,0,0,0,0,0,0,130.000,65.000,60.000
San Agustín,2019,0,0,0,0,101.500,3.400,3.000,33833,0,0,0,100,0,0,0,0,0,0,0,0,4.350,12.000,8.700,500,0,0,0,0,0,0,0,0,105.850,15.400,11.700
Timaná,2019,0,0,0,0,106.390,15.000,14.200,7492,2.115,3.000,4.700,450,2.115,5.000,4.000,529,540,1.000,900,600,0,0,0,0,81,200,180,450,203,500,450,450,111.444,24.700,24.430
Neiva,2020,0,0,0,0,2.800.000,10.000.000,8.000.000,350,700.000,1.340.000,1.100.000,636,370.000,600.000,500.000,740,4.000,10.000,7.500,533,20.000,38.000,34.000,588,20.250,60.000,45.000,450,0,0,0,0,3.914.250,12.048.000,9.686.500
Aipe,2020,0,0,0,0,6.050.000,11.500.000,11.000.000,550,1.000.000,1.530.000,1.430.000,699,700.000,800.000,750.000,933,1.750,2.300,1.760,994,0,0,0,0,2.550,6.700,5.500,464,5.500,10.000,8.700,632,7.759.800,13.849.000,13.195.960
Algeciras,2020,0,0,0,0,510.000,1.450.000,1.200.000,425,0,0,0,400,2.000,2.300,2.000,1000,0,0,0,0,32.000,65.000,55.000,582,5.250,12.000,9.000,583,3.350,10.000,6.700,500,552.600,1.539.300,1.272.700
Baraya,2020,0,0,0,0,635.000,1.540.000,1.350.000,470,0,0,0,400,42.400,72.000,53.000,800,0,0,0,0,0,0,0,0,0,0,0,0,2.990,5.700,4.600,650,680.390,1.617.700,1.407.600
Campoalegre,2020,13.200.000,34.700.000,20.000.000,660,840.500,3.200.000,2.050.000,410,1.500.000,3.450.000,2.300.000,652,101.500,170.000,145.000,700,3.100,3.500,3.100,1000,0,0,0,0,4.635,12.500,10.300,450,600,1.500,1.200,500,15.650.335,41.537.500,24.509.600
Colombia,2020,0,0,0,0,125.600,500.000,340.000,369,0,0,0,30,810,2.300,1.500,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.410,502.300,341.500
Hobo,2020,2.100.000,3.700.000,1.970.000,1.066,760.000,2.850.000,1.740.000,437,1.100.000,2.560.000,1.800.000,611,99.000,135.000,120.000,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.059.000,9.245.000,5.630.000
Iquira,2020,0,0,0,0,620.500,2.000.000,1.450.000,428,50.000,150.000,110.000,455,5.900,7.200,5.900,1000,0,0,0,0,16.500,33.000,30.000,550,0,0,0,0,0,0,0,0,692.900,2.190.200,1.595.900
Palermo,2020,0,0,0,0,1.840.000,4.760.000,3.100.000,594,0,0,0,100,120.000,250.000,200.000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960.000,5.010.000,3.300.000
Rivera,2020,0,0,0,0,810.000,2.500.000,1.850.000,438,0,0,0,0,200.000,300.000,200.000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.010.000,2.800.000,2.050.000
Santa Maria,2020,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,3.000,6.500,4.500,667,27.000,60.000,45.000,600,0,0,0,0,0,0,0,0,30.000,66.500,49.500
Tello,2020,0,0,0,0,710.500,1.920.000,1.420.000,500,0,0,0,570,5.500,8.000,5.500,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.200,2.100,1.800,667,717.200,1.930.100,1.427.300
