CODIGO DANE,MUNICIPIOS,ENTIDAD ADIMINSTRADORA,Total Suscriptores,Residencial Suscriptores,B A S U R A S  Capacidad   del vehiculo M3,Kgs/día B A S U R A S  Producida,P.P.C.  Kgs/día B A S U R A S  Producida,Kgs/día Recolectada B A S U R A S ,Cobertura % Recolectada B A S U R A S 
41660,Saladoblanco,EMSEPUSA,477,464,"6,00",1807,0,1490,82
41676,Santa María,Orquidea de Oro,1.150,1124,"9,00",0,0,0,100
41770,Suaza,EMPUSUAZA,1.746,1720,"22,00",6100,0,6100,98
41807,Timaná            1/,0,0,0,"0,00",0,0,0,0
41872,Villavieja,Empresas Públicas de Villavieja,759,747,"7,00",0,0,0,100
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,2.070,2018,"50,00",6721,0,1346,100
41006,Acevedo,EMPACEVEDO,2.169,2078,"10,00",10000,2,10000,98
41013,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,2.110,2023,"12,00",799670,94,,98
41016,Aipe,Empresas Públicas de Aipe,2.788,2715,"7.000,00",5000,"1,79",5000,98
41132,Campoalegre,,,,,,,,
41206,Colombia,Alcaldía municipal,788,740,"8,00",1289,"0,51",1289,98
41244,Elías,,,,,,,,
41306,Gigante,EMPUGIGANTE S.A. ESP,3.540,3283,"17,00",9875,"0,59",9875,"98,53"
41349,Hobo,EMUSERHOBO S.A. E.S.P.,1.898,1853,"8,00",3317,"0,64",3317,99
41396,La Plata,,,,,,,,
41483,Nátaga,Aguas del Huila S.A.  E.S.P.,803,760,"12,00","804,68","0,33","804,68",96
41518,Paicol,Aguas del Huila S.A.  E.S.P.,953,888,"14,00",1770,"0,46",1770,98
41615,Rivera,Empresa de Servicios Públicos de Rivera,3.267,3164,"34,00",10233,"0,91",10366,83
41668,San Agustín,Empresas Públicas de San Agustín ESP,3.195,2809,"21,05","6632,79","0,52","6632,79",
41676,Santa María,Orquidea de Oro,985,952,"9,00",1823,,,98
41770,Suaza,EMPUSUAZA,2.225,2103,"6,00",4697,,4697,78
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.727,1637,"14,00",2584,"0,43",2584,"95,24"
