VIGENCIA,CODIGO DANE,MUNICIPIOS,USUARIOS,Valor
2018,41078,Baraya,Comercial,76
2018,41132,Campoalegre,Comercial,534
2018,41206,Colombia,Comercial,44
2018,41244,Elias,Comercial,27
2018,41298,Garzon,Comercial,1512
2018,41306,Gigante,Comercial,406
2018,41319,Guadalupe,Comercial,220
2018,41349,Hobo,Comercial,94
2018,41357,Iquira,Comercial,82
2018,41359,Isnos,Comercial,269
2018,41378,La Argentina,Comercial,52
2018,41396,La Plata,Comercial,813
2018,41483,Nataga,Comercial,39
2018,41503,Oporapa,Comercial,54
2018,41518,Paicol,Comercial,38
2018,41524,Palermo,Comercial,574
2018,41530,Palestina,Comercial,84
2018,41548,Pital,Comercial,142
2018,41551,Pitalito,Comercial,3520
2018,41615,Rivera,Comercial,345
2018,41660,Saladoblanco,Comercial,111
2018,41668,San Agustin,Comercial,448
2018,41676,Santa Maria,Comercial,123
2018,41770,Suaza,Comercial,183
2018,41791,Tarqui,Comercial,144
2018,41799,Tello,Comercial,63
2018,41801,Teruel,Comercial,109
2018,41797,Tesalia,Comercial,98
2018,41807,Timana,Comercial,256
2018,41872,Villavieja,Comercial,44
2018,41885,Yaguara,Comercial,126
2017,41001,Neiva,Comercial,10463
2017,41006,Acevedo,Comercial,279
2017,41013,Agrado,Comercial,107
2017,41016,Aipe,Comercial,202
2017,41020,Algeciras,Comercial,263
2017,41026,Altamira,Comercial,98
2017,41078,Baraya,Comercial,74
2017,41132,Campoalegre,Comercial,519
2017,41206,Colombia,Comercial,42
2017,41548,El Pital,Comercial,144
2017,41244,Elias,Comercial,25
2017,41298,Garzon,Comercial,1486
2017,41306,Gigante,Comercial,398
2017,41319,Guadalupe,Comercial,206
2017,41349,Hobo,Comercial,93
2017,41357,Iquira,Comercial,78
2017,41359,Isnos,Comercial,248
2017,41378,La Argentina,Comercial,50
2017,41396,La Plata,Comercial,805
2017,41483,Nataga,Comercial,40
2017,41503,Oporapa,Comercial,48
2017,41518,Paicol,Comercial,34
2017,41524,Palermo,Comercial,539
2017,41530,Palestina,Comercial,83
2017,41551,Pitalito,Comercial,3313
2017,41615,Rivera,Comercial,321
2017,41660,Saladoblanco,Comercial,101
2017,41668,San Agustin,Comercial,405
2017,41676,Santa Maria,Comercial,117
2017,41770,Suaza,Comercial,173
2017,41791,Tarqui,Comercial,137
2017,41799,Tello,Comercial,53
2017,41801,Teruel,Comercial,82
2017,41797,Tesalia,Comercial,97
2017,41807,Timana,Comercial,242
2017,41872,Villavieja,Comercial,39
2017,41885,Yaguara,Comercial,122
2016,41001,Neiva,Comercial,9985
2016,41006,Acevedo,Comercial,253
2016,41013,Agrado,Comercial,101
2016,41016,Aipe,Comercial,194
