VIGENCIA,CODIGO DANE,MUNICIPIOS,CONSUMO DE ENERGIA Kwh,Valor
2017,41006,Acevedo,Comercial,1207862
2017,41013,Agrado,Comercial,381231
2017,41016,Aipe,Comercial,1164237
2017,41020,Algeciras,Comercial,767585
2017,41026,Altamira,Comercial,257346
2017,41078,Baraya,Comercial,256051
2017,41132,Campoalegre,Comercial,2451179
2017,41206,Colombia,Comercial,144142
2017,41548,El Pital,Comercial,292002
2017,41244,Elias,Comercial,132504
2017,41298,Garzon,Comercial,4647347
2017,41306,Gigante,Comercial,2560872
2017,41319,Guadalupe,Comercial,542867
2017,41349,Hobo,Comercial,1207521
2017,41357,Iquira,Comercial,227070
2017,41359,Isnos,Comercial,738858
2017,41378,La Argentina,Comercial,103174
2017,41396,La Plata,Comercial,3106543
2017,41483,Nataga,Comercial,119387
2017,41503,Oporapa,Comercial,222788
2017,41518,Paicol,Comercial,103043
2017,41524,Palermo,Comercial,4802175
2017,41530,Palestina,Comercial,233372
2017,41551,Pitalito,Comercial,14844266
2017,41615,Rivera,Comercial,2958348
2017,41660,Saladoblanco,Comercial,298301
2017,41668,San Agustin,Comercial,1154814
2017,41676,Santa Maria,Comercial,343870
2017,41770,Suaza,Comercial,455569
2017,41791,Tarqui,Comercial,445457
2017,41799,Tello,Comercial,301127
2017,41801,Teruel,Comercial,543894
2017,41797,Tesalia,Comercial,429118
2017,41807,Timana,Comercial,776779
2017,41872,Villavieja,Comercial,137533
2017,41885,Yaguara,Comercial,611213
2016,41001,Neiva,Comercial,90351486
2016,41006,Acevedo,Comercial,1023757
2016,41013,Agrado,Comercial,326777
2016,41016,Aipe,Comercial,1058262
2016,41020,Algeciras,Comercial,633879
2016,41026,Altamira,Comercial,179973
2016,41078,Baraya,Comercial,254634
2016,41132,Campoalegre,Comercial,2289014
2016,41206,Colombia,Comercial,116192
2016,41244,Elias,Comercial,126604
2016,41298,Garzon,Comercial,5173938
2016,41306,Gigante,Comercial,2951342
2016,41319,Guadalupe,Comercial,408744
2016,41349,Hobo,Comercial,876247
2016,41357,Iquira,Comercial,114694
2016,41359,Isnos,Comercial,633483
2016,41378,La Argentina,Comercial,107910
2016,41396,La Plata,Comercial,2685855
2016,41483,Nataga,Comercial,89286
2016,41503,Oporapa,Comercial,183514
2016,41518,Paicol,Comercial,78986
2016,41524,Palermo,Comercial,4798185
2016,41530,Palestina,Comercial,205883
2016,41548,Pital,Comercial,291591
2016,41551,Pitalito,Comercial,12771437
2016,41615,Rivera,Comercial,1772385
2016,41660,Saladoblanco,Comercial,252279
2016,41668,San Agustin,Comercial,1008833
2016,41676,Santa Maria,Comercial,286555
2016,41770,Suaza,Comercial,354945
2016,41791,Tarqui,Comercial,400383
2016,41799,Tello,Comercial,294270
2016,41801,Teruel,Comercial,254243
2016,41797,Tesalia,Comercial,382446
2016,41807,Timana,Comercial,691816
2016,41872,Villavieja,Comercial,115998
2016,41885,Yaguara,Comercial,509272
2015,41001,Neiva,Comercial,121718312
