DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41306,GIGANTE,2017,"0,81",Incumplimiento bajo
41319,GUADALUPE,2017,"0,86",Incumplimiento bajo
41349,HOBO,2017,"0,83",Incumplimiento bajo
41359,ISNOS,2017,"0,90",Incumplimiento bajo
41378,LA ARGENTINA,2017,"0,86",Incumplimiento bajo
41396,LA PLATA,2017,"0,93",Incumplimiento bajo
41503,OPORAPA,2017,"0,85",Incumplimiento bajo
41518,PAICOL,2017,"0,81",Incumplimiento bajo
41524,PALERMO,2017,"0,89",Incumplimiento bajo
41548,PITAL,2017,"0,87",Incumplimiento bajo
41660,SALADOBLANCO,2017,"0,89",Incumplimiento bajo
41668,SAN AGUSTÍN,2017,"0,93",Incumplimiento bajo
41770,SUAZA,2017,"0,84",Incumplimiento bajo
41791,TARQUI,2017,"0,88",Incumplimiento bajo
41799,TELLO,2017,"0,90",Incumplimiento bajo
41801,TERUEL,2017,"0,86",Incumplimiento bajo
41807,TIMANA,2017,"0,89",Incumplimiento bajo
41006,ACEVEDO,2016,"0,84",Incumplimiento bajo
41013,AGRADO,2016,"0,87",Incumplimiento bajo
41016,AIPE,2016,"0,86",Incumplimiento bajo
41020,ALGECIRAS,2016,"0,92",Incumplimiento bajo
41026,ALTAMIRA,2016,"0,87",Incumplimiento bajo
41206,COLOMBIA,2016,"0,88",Incumplimiento bajo
41306,GIGANTE,2016,"0,85",Incumplimiento bajo
41319,GUADALUPE,2016,"0,92",Incumplimiento bajo
41349,HOBO,2016,"0,92",Incumplimiento bajo
41357,ÍQUIRA,2016,"0,86",Incumplimiento bajo
41359,ISNOS,2016,"0,90",Incumplimiento bajo
41483,NÁTAGA,2016,"0,80",Incumplimiento bajo
41524,PALERMO,2016,"0,87",Incumplimiento bajo
41530,PALESTINA,2016,"0,89",Incumplimiento bajo
41551,PITALITO,2016,"0,94",Incumplimiento bajo
41660,SALADOBLANCO,2016,"0,93",Incumplimiento bajo
41676,SANTA MARÍA,2016,"0,82",Incumplimiento bajo
41770,SUAZA,2016,"0,90",Incumplimiento bajo
41791,TARQUI,2016,"0,92",Incumplimiento bajo
41797,TESALIA,2016,"0,92",Incumplimiento bajo
41799,TELLO,2016,"0,88",Incumplimiento bajo
41801,TERUEL,2016,"0,95",Incumplimiento bajo
41807,TIMANA,2016,"0,91",Incumplimiento bajo
41872,VILLA VIEJA,2016,"0,85",Incumplimiento bajo
41885,YAGUARÁ,2016,"0,88",Incumplimiento bajo
41001,NEIVA,2020,"0,98",Cumplimiento óptimo
41016,AIPE,2020,"0,27",Incumplimiento alto
41206,COLOMBIA,2020,"0,80",Incumplimiento medio
41357,ÍQUIRA,2020,"0,78",Incumplimiento medio
41483,NÁTAGA,2020,"0,95",Cumplimiento óptimo
41548,PITAL,2020,"0,96",Cumplimiento óptimo
41551,PITALITO,2020,"0,96",Cumplimiento óptimo
41668,SAN AGUSTÍN,2020,"0,97",Cumplimiento óptimo
41801,TERUEL,2020,"0,95",Cumplimiento óptimo
41807,TIMANA,2020,"0,96",Cumplimiento óptimo
41016,AIPE,2019,"0,96",Cumplimiento óptimo
41020,ALGECIRAS,2019,"0,96",Cumplimiento óptimo
41026,ALTAMIRA,2019,"0,98",Cumplimiento óptimo
41078,BARAYA,2019,"0,97",Cumplimiento óptimo
41132,CAMPOALEGRE,2019,"0,98",Cumplimiento óptimo
41206,COLOMBIA,2019,"0,00",Igual a 0
41298,GARZÓN,2019,"0,97",Cumplimiento óptimo
41378,LA ARGENTINA,2019,"0,98",Cumplimiento óptimo
41396,LA PLATA,2019,"0,76",Incumplimiento medio
