VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Cant
2013,41244, El Pital,Riego,0
2013,41206, Colombia,Riego,0
2013,41026, Altamira,Riego,0
2013,41020, Algeciras,Riego,0
2013,41006, Acevedo,Riego,0
2018,41872,Villavieja,Autoconsumo,0
2018,41797,Tesalia,Autoconsumo,0
2018,41801,Teruel,Autoconsumo,0
2018,41799,Tello,Autoconsumo,0
2018,41770,Suaza,Autoconsumo,0
2018,41660,Saladoblanco,Autoconsumo,0
2018,41530,Palestina,Autoconsumo,0
2018,41518,Paicol,Autoconsumo,0
2018,41483,Nataga,Autoconsumo,0
2018,41378,La Argentina,Autoconsumo,0
2018,41244,Elias,Autoconsumo,0
2018,41013,Agrado,Autoconsumo,0
2017,41872,Villavieja,Autoconsumo,0
2017,41797,Tesalia,Autoconsumo,0
2017,41801,Teruel,Autoconsumo,0
2017,41799,Tello,Autoconsumo,0
2017,41770,Suaza,Autoconsumo,0
2017,41660,Saladoblanco,Autoconsumo,0
2017,41530,Palestina,Autoconsumo,0
2017,41518,Paicol,Autoconsumo,0
2017,41483,Nataga,Autoconsumo,0
2017,41378,La Argentina,Autoconsumo,0
2017,41244,Elias,Autoconsumo,0
2017,41020,Algeciras,Autoconsumo,0
2017,41013,Agrado,Autoconsumo,0
2016,41872,Villavieja,Autoconsumo,0
2016,41797,Tesalia,Autoconsumo,0
2016,41801,Teruel,Autoconsumo,0
2016,41799,Tello,Autoconsumo,0
2016,41770,Suaza,Autoconsumo,0
2016,41660,Saladoblanco,Autoconsumo,0
2016,41530,Palestina,Autoconsumo,0
2016,41518,Paicol,Autoconsumo,0
2016,41483,Nataga,Autoconsumo,0
2016,41378,La Argentina,Autoconsumo,0
2016,41244,Elias,Autoconsumo,0
2016,41013,Agrado,Autoconsumo,0
2015,41872,Villavieja,Autoconsumo,0
2015,41801,Teruel,Autoconsumo,0
2015,41799,Tello,Autoconsumo,0
2014,41872, Villavieja,Autoconsumo,0
2014,41797, Tesalia,Autoconsumo,0
2014,41801, Teruel,Autoconsumo,0
2014,41799, Tello,Autoconsumo,0
2014,41770, Suaza,Autoconsumo,0
2014,41660,Saladoblanco,Autoconsumo,0
2014,41530, Palestina,Autoconsumo,0
2014,41518, Paicol,Autoconsumo,0
2014,41483,Nataga,Autoconsumo,0
2014,41378, La Argentina,Autoconsumo,0
2014,41244,Elias,Autoconsumo,0
2014,41013, Agrado,Autoconsumo,0
2013,41872, Villavieja,Autoconsumo,0
2013,41797, Tesalia,Autoconsumo,0
